TimeStamps penX penY orAltitude orAzimuth orTwist pressure
1669004535043 871 1055 590 880 0 398
1669004535049 870 1052 590 880 0 405
1669004535055 869 1048 590 880 0 409
1669004535060 869 1044 590 880 0 413
1669004535066 869 1039 590 880 0 418
1669004535071 869 1034 590 880 0 423
1669004535076 869 1028 590 880 0 428
1669004535084 870 1021 590 880 0 433
1669004535088 872 1013 590 880 0 438
1669004535093 875 1004 590 880 0 442
1669004535099 878 993 590 880 0 445
1669004535106 881 982 590 880 0 445
1669004535110 886 969 590 880 0 445
1669004535116 890 956 590 880 0 446
1669004535121 896 942 590 900 0 446
1669004535126 901 929 590 900 0 446
1669004535133 907 916 590 900 0 446
1669004535138 912 905 600 900 0 434
1669004535143 917 897 600 920 0 419
1669004535149 922 890 600 920 0 388
1669004535156 926 885 600 920 0 336
1669004535160 929 881 600 930 0 264
1669004535166 932 878 600 930 0 176
1669004535171 935 876 600 930 0 82
1669004535176 935 876 600 930 0 0
1669004535184 940 872 600 930 0 0
1669004535188 942 870 600 950 0 0
1669004535193 944 868 600 950 0 0
1669004535199 946 866 610 950 0 0
1669004535204 948 864 610 950 0 0
1669004535210 950 861 610 950 0 0
1669004535217 951 857 610 950 0 0
1669004535221 953 853 610 950 0 0
1669004535226 955 849 610 970 0 0
1669004535233 958 845 610 970 0 0
1669004535238 960 841 610 970 0 0
1669004535243 961 836 610 970 0 0
1669004535250 963 832 610 970 0 0
1669004535260 965 829 610 970 0 0
1669004535262 966 826 610 990 0 0
1669004535266 967 825 610 990 0 0
1669004535271 968 824 610 990 0 187
1669004535276 968 824 610 990 0 187
1669004535283 968 824 610 990 0 223
1669004535289 968 824 610 1010 0 248
1669004535293 968 824 610 1010 0 279
1669004535300 968 824 610 990 0 317
1669004535304 968 824 610 990 0 351
1669004535311 968 824 610 990 0 387
1669004535317 968 824 610 990 0 417
1669004535322 968 824 610 970 0 442
1669004535326 1005 912 620 970 0 466
1669004535333 1013 931 620 970 0 492
1669004535338 1022 951 620 960 0 510
1669004535343 1032 970 630 940 0 523
1669004535350 1042 989 630 940 0 531
1669004535354 1053 1007 630 920 0 537
1669004535360 1062 1025 640 920 0 539
1669004535366 1071 1040 640 900 0 542
1669004535371 1079 1053 650 900 0 542
1669004535376 1086 1064 650 900 0 542
1669004535383 1092 1073 650 880 0 542
1669004535388 1097 1079 660 880 0 543
1669004535394 1102 1085 660 860 0 543
1669004535399 1106 1089 670 850 0 543
1669004535404 1109 1091 670 830 0 532
1669004535410 1111 1093 680 800 0 513
1669004535416 1113 1093 680 800 0 472
1669004535421 1113 1093 680 800 0 420
1669004535426 1113 1090 680 780 0 359
1669004535434 1113 1085 680 780 0 257
1669004535438 1111 1079 680 780 0 150
1669004535443 1109 1072 670 750 0 0
1669004535450 1109 1072 670 750 0 0
1669004535455 1104 1055 670 750 0 0
1669004535460 1101 1047 670 750 0 0
1669004535466 1098 1038 670 750 0 0
1669004535471 1096 1030 670 750 0 0
1669004535476 1095 1022 670 750 0 0
1669004535482 1093 1015 670 750 0 0
1669004535488 1093 1008 680 780 0 0
1669004535494 1092 1002 680 780 0 0
1669004535499 1091 996 680 780 0 0
1669004535505 1091 991 680 780 0 0
1669004535510 1090 985 680 780 0 0
1669004535516 1090 981 680 800 0 0
1669004535521 1090 977 680 800 0 0
1669004535527 1090 973 680 800 0 0
1669004535539 1090 971 680 830 0 0
1669004535540 1089 971 680 830 0 0
1669004535544 1086 971 680 830 0 0
1669004535549 1084 973 680 830 0 270
1669004535555 1084 973 680 830 0 270
1669004535561 1084 973 680 830 0 334
1669004535567 1084 973 670 830 0 356
1669004535571 1084 973 670 830 0 373
1669004535576 1084 973 670 830 0 387
1669004535585 1084 973 670 830 0 402
1669004535588 1084 973 670 830 0 416
1669004535593 1084 973 660 830 0 427
1669004535599 1084 973 660 830 0 433
1669004535606 1012 1054 660 830 0 438
1669004535610 1005 1062 660 830 0 441
1669004535617 999 1068 650 810 0 442
1669004535621 995 1072 650 810 0 442
1669004535627 992 1073 650 810 0 442
1669004535633 989 1073 650 810 0 431
1669004535638 987 1070 650 810 0 398
1669004535644 985 1064 640 820 0 346
1669004535650 983 1057 640 820 0 253
1669004535656 981 1047 640 820 0 157
1669004535660 981 1047 640 820 0 0
1669004535667 977 1022 640 820 0 0
1669004535672 974 1008 630 820 0 0
1669004535677 973 994 630 820 0 0
1669004535683 971 980 630 840 0 0
1669004535688 971 965 630 840 0 0
1669004535693 972 950 630 840 0 0
1669004535699 974 934 630 840 0 0
1669004535705 977 917 630 860 0 0
1669004535710 981 900 630 860 0 0
1669004535717 985 883 620 860 0 0
1669004535722 991 867 620 880 0 0
1669004535727 997 852 620 900 0 0
1669004535733 1005 839 620 900 0 0
1669004535738 1013 827 620 900 0 0
1669004535743 1022 818 620 900 0 0
1669004535749 1030 812 620 920 0 0
1669004535755 1039 807 620 940 0 0
1669004535760 1047 806 620 960 0 0
1669004535771 1054 807 620 960 0 0
1669004535773 1060 810 620 960 0 0
1669004535776 1065 815 620 970 0 0
1669004535784 1070 823 630 980 0 411
1669004535788 1070 823 630 980 0 411
1669004535793 1070 823 630 980 0 424
1669004535799 1070 823 640 980 0 424
1669004535806 1070 823 640 960 0 424
1669004535811 1070 823 650 960 0 425
1669004535816 1070 823 650 960 0 423
1669004535821 1070 823 650 960 0 412
1669004535826 1070 823 660 970 0 375
1669004535832 1102 896 660 940 0 275
1669004535838 1103 899 660 940 0 151
1669004535844 1103 899 660 940 0 0
1669004535849 1103 903 670 950 0 0
1669004535855 1102 903 670 920 0 0
1669004535860 1101 903 670 920 0 0
1669004535866 1098 903 670 920 0 0
1669004535871 1096 902 670 900 0 0
1669004535877 1094 900 670 900 0 0
1669004535883 1092 897 670 900 0 0
1669004535888 1089 893 670 900 0 0
1669004535893 1086 888 670 900 0 0
1669004535900 1084 882 670 880 0 0
1669004535905 1081 875 670 880 0 0
1669004535910 1078 866 670 880 0 0
1669004535916 1078 866 670 880 0 0
1669004535921 1078 866 670 880 0 0
1669004535927 1078 866 670 880 0 0
1669004535932 1078 866 670 880 0 0
1669004535938 1078 866 670 880 0 0
1669004535943 1078 866 670 880 0 0
1669004535949 1078 866 670 880 0 0
1669004535954 1078 866 670 880 0 0
1669004535960 1078 866 670 880 0 0
1669004535966 1078 866 670 880 0 0
1669004535971 1078 866 670 880 0 0
1669004535977 1078 866 670 880 0 0
1669004535982 1078 866 670 880 0 0
1669004535988 1078 866 670 880 0 0
1669004535993 1078 866 670 880 0 0
1669004535999 1078 866 670 880 0 0
1669004536005 1078 866 670 880 0 0
