TimeStamps MergeTimeStamps penX penY orAltitude orAzimuth orTwist pressure
1670502848598 1670502848595 342 560 650 880 0 589
1670502848602 1670502848600 343 558 650 880 0 589
1670502848609 1670502848605 345 557 650 880 0 589
1670502848614 1670502848610 347 556 650 880 0 589
1670502848619 1670502848615 348 556 650 880 0 592
1670502848626 1670502848625 349 556 660 880 0 593
1670502848631 1670502848630 350 557 660 880 0 596
1670502848636 1670502848635 351 560 660 880 0 598
1670502848642 1670502848640 352 562 660 880 0 601
1670502848648 1670502848645 352 565 660 880 0 604
1670502848653 1670502848650 352 569 660 880 0 604
1670502848659 1670502848655 352 572 660 880 0 606
1670502848665 1670502848665 352 575 660 880 0 607
1670502848670 1670502848670 352 578 660 880 0 608
1670502848676 1670502848675 353 581 660 880 0 608
1670502848680 1670502848680 353 583 660 880 0 608
1670502848686 1670502848685 353 584 660 880 0 610
1670502848692 1670502848690 353 585 660 880 0 610
1670502848698 1670502848695 353 585 660 880 0 610
1670502848702 1670502848700 353 585 660 880 0 610
1670502848709 1670502848705 353 585 660 880 0 607
1670502848714 1670502848710 354 584 660 880 0 607
1670502848720 1670502848720 355 582 660 860 0 607
1670502848726 1670502848725 355 581 660 860 0 602
1670502848731 1670502848730 356 578 660 860 0 600
1670502848736 1670502848735 357 576 660 860 0 599
1670502848742 1670502848740 358 574 660 860 0 598
1670502848748 1670502848745 360 572 670 880 0 598
1670502848753 1670502848750 362 569 670 880 0 598
1670502848759 1670502848755 364 567 670 880 0 586
1670502848765 1670502848765 365 565 670 880 0 577
1670502848770 1670502848770 367 563 670 880 0 564
1670502848776 1670502848775 369 562 670 880 0 536
1670502848781 1670502848780 371 560 670 900 0 495
1670502848786 1670502848785 373 559 670 900 0 429
1670502848793 1670502848790 374 557 670 900 0 302
1670502848798 1670502848795 376 556 670 900 0 158
1670502848803 1670502848800 376 556 670 900 0 0
1670502848809 1670502848805 378 554 670 900 0 0
1670502848814 1670502848810 379 553 670 900 0 0
1670502848820 1670502848820 380 552 670 920 0 0
1670502848826 1670502848825 380 551 670 920 0 0
1670502848831 1670502848830 380 550 680 920 0 0
1670502848835 1670502848835 380 549 680 920 0 0
1670502848843 1670502848840 381 549 680 920 0 0
1670502848848 1670502848845 381 547 680 920 0 0
1670502848852 1670502848850 381 546 680 950 0 0
1670502848859 1670502848855 381 544 680 950 0 0
1670502848865 1670502848865 381 543 680 950 0 0
1670502848870 1670502848870 381 541 680 950 0 0
1670502848876 1670502848875 381 539 680 950 0 0
1670502848881 1670502848880 381 537 680 950 0 0
1670502848887 1670502848885 381 535 680 950 0 0
1670502848891 1670502848890 381 533 680 950 0 0
1670502848898 1670502848895 381 531 680 970 0 0
1670502848903 1670502848900 381 528 680 970 0 0
1670502848908 1670502848905 381 526 680 970 0 0
1670502848915 1670502848915 381 523 680 970 0 0
1670502848920 1670502848920 380 520 680 970 0 0
1670502848926 1670502848925 380 517 670 970 0 0
1670502848931 1670502848930 380 514 670 970 0 0
1670502848937 1670502848935 379 510 670 970 0 0
1670502848941 1670502848940 378 507 670 970 0 0
1670502848948 1670502848945 377 504 670 990 0 0
1670502848953 1670502848950 377 504 670 990 0 0
1670502848959 1670502848955 377 504 670 990 0 0
1670502848964 1670502848960 377 504 670 990 0 0
1670502848970 1670502848970 377 504 670 990 0 0
1670502848976 1670502848975 377 504 670 990 0 0
1670502848981 1670502848980 377 504 670 990 0 0
1670502848986 1670502848985 377 504 670 990 0 0
1670502848992 1670502848990 377 504 670 990 0 0
1670502848998 1670502848995 377 504 670 990 0 0
1670502849003 1670502849000 377 504 670 990 0 0
1670502849009 1670502849005 377 504 670 990 0 0
1670502849014 1670502849010 377 504 670 990 0 0
1670502849020 1670502849020 377 504 670 990 0 0
1670502849026 1670502849025 377 504 670 990 0 0
1670502849031 1670502849030 377 504 670 990 0 0
1670502849036 1670502849035 377 504 670 990 0 0
1670502849042 1670502849040 377 504 670 990 0 0
1670502849047 1670502849045 377 504 670 990 0 0
1670502849052 1670502849050 377 504 670 990 0 0
1670502849059 1670502849055 377 504 670 990 0 0
1670502849064 1670502849060 377 504 670 990 0 0
1670502849070 1670502849070 377 504 670 990 0 0
1670502849076 1670502849075 377 504 670 990 0 0
1670502849081 1670502849080 377 504 670 990 0 0
1670502849094 1670502849090 377 504 670 990 0 0
1670502849104 1670502849100 377 504 670 990 0 0
1670502849117 1670502849115 377 504 670 990 0 0
1670502849126 1670502849125 377 504 670 990 0 0
1670502849131 1670502849130 377 504 670 990 0 0
1670502849135 1670502849135 377 504 670 990 0 0
1670502849142 1670502849140 377 504 670 990 0 0
1670502849147 1670502849145 377 504 670 990 0 0
1670502849153 1670502849150 377 504 670 990 0 0
1670502849159 1670502849155 377 504 670 990 0 0
1670502849164 1670502849160 377 504 670 990 0 0
1670502849169 1670502849165 377 504 670 990 0 0
1670502849176 1670502849175 377 504 670 990 0 0
1670502849181 1670502849180 377 504 670 990 0 0
1670502849186 1670502849185 377 504 670 990 0 0
1670502849192 1670502849190 377 504 670 990 0 0
1670502849197 1670502849195 377 504 670 990 0 0
1670502849203 1670502849200 377 504 670 990 0 0
1670502849209 1670502849205 377 504 670 990 0 0
1670502849214 1670502849210 377 504 670 990 0 0
1670502849220 1670502849220 377 504 670 990 0 0
1670502849226 1670502849225 377 504 670 990 0 0
1670502849231 1670502849230 377 504 670 990 0 0
1670502849236 1670502849235 377 504 670 990 0 0
1670502849242 1670502849240 377 504 670 990 0 0
1670502849248 1670502849245 377 504 670 990 0 0
1670502849252 1670502849250 377 504 670 990 0 0
1670502849260 1670502849260 377 504 670 990 0 0
